Agent,Period,Job,PP,h_cum,h,c,w
4,24,6,0,67833.33333333333,2166.6666666666715,57279.22797811867,58139.75771566011
4,25,1,1,70000.0,2166.6666666666715,61877.683842865685,64616.45611671223
4,26,1,1,72166.66666666666,2166.666666666657,59086.52740326894,60685.249863759076
4,27,2,0,74333.33333333333,2166.6666666666715,50603.544658509694,48737.386842971406
4,28,1,0,76500.0,2166.6666666666715,60316.25011755391,62417.25368669565
4,29,0,0,78666.66666666666,2166.666666666657,66326.62414393462,70882.56921680932
4,30,1,1,80833.33333333333,2166.6666666666715,63468.054221786704,66856.41439688268
4,31,5,1,83000.0,2166.6666666666715,53573.76322701686,52920.79327748854
4,32,1,1,85166.66666666666,2166.666666666657,64057.09547621536,67686.04996650052
4,33,0,1,87333.33333333333,2166.6666666666715,70506.32669863764,76769.4742234333
4,34,1,0,89500.0,2166.6666666666715,62138.355596387584,64983.59943153181
4,35,0,1,91666.66666666666,2166.666666666657,71132.0566373113,77650.7839962131
4,36,0,1,93833.33333333333,2166.6666666666715,67688.37903645259,72800.53385415858
4,37,1,0,96000.0,2166.6666666666715,62973.8751185925,66160.38749097535
4,38,0,1,98166.66666666666,2166.666666666657,72028.27854846895,78913.06837812529
4,39,0,0,100333.33333333333,2166.6666666666715,65942.79435375312,70341.96387852554
4,40,6,1,102500.0,2166.6666666666715,64231.43504415892,67931.59865374496
5,1,4,0,15833.333333333332,2166.666666666666,13671.536200910112,34828.701839680645
5,2,8,0,18000.0,2166.666666666668,7999.45937370637,25719.03099335958
5,3,1,1,20166.666666666664,2166.6666666666642,24347.622341638657,47623.782393708985
5,4,3,0,22333.333333333332,2166.666666666668,20561.220503488217,41169.99181366026
5,5,4,0,24500.0,2166.666666666668,20085.105824723094,39378.577514435754
5,6,3,0,26666.666666666664,2166.6666666666642,23610.3550518244,43222.8870262909
5,7,1,1,28833.333333333332,2166.666666666668,30729.878766737187,52129.554971683254
5,8,6,1,31000.0,2166.666666666668,30719.104599797538,50993.54984404393
5,9,6,0,33166.666666666664,2166.6666666666642,27212.738823669777,44934.17625275954
5,10,0,1,35333.33333333333,2166.6666666666642,59877.948643821765,61799.9276673546
5,11,0,1,37500.0,2166.6666666666715,57511.338989243,58466.67463273662
5,12,4,1,39666.666666666664,2166.6666666666642,50112.19237046012,48045.34136684525
5,13,1,1,41833.33333333333,2166.6666666666642,56551.55105829994,57114.86064549288
5,14,6,1,44000.0,2166.6666666666715,55441.00264318323,55550.7079481454
5,15,0,1,46166.666666666664,2166.6666666666642,62825.1320837668,65950.89025882649
5,16,1,1,48333.33333333333,2166.6666666666642,57991.86049741109,59143.4654893114
5,17,3,0,50500.0,2166.6666666666715,52369.915015764615,51225.23241656988
5,18,0,1,52666.666666666664,2166.6666666666642,64332.795237127866,68074.3594889125
5,19,0,0,54833.33333333333,2166.6666666666642,58743.077181309636,60201.517156774134
5,20,0,1,57000.0,2166.6666666666715,61926.62701256605,64685.390158543734
5,21,0,0,59166.666666666664,2166.6666666666642,59596.39118134162,61403.367861044535
5,22,0,1,61333.33333333333,2166.6666666666642,62737.12734818547,65826.9399270218
5,23,3,0,63499.99999999999,2166.6666666666642,54601.54980817801,54368.380011518326
5,24,4,1,65666.66666666666,2166.6666666666642,54505.28989315813,54232.802666419906
5,25,0,0,67833.33333333333,2166.6666666666715,64441.62277847156,68227.63771615713
5,26,0,1,70000.0,2166.6666666666715,64229.88299268188,67929.41266574913
5,27,1,1,72166.66666666666,2166.666666666657,62210.653141839946,65085.42696033795
5,28,0,0,74333.33333333333,2166.6666666666715,65598.27840709427,69856.730150837
5,29,1,1,76500.0,2166.6666666666715,62853.47291675611,65990.80692500861
5,30,0,1,78666.66666666666,2166.666666666657,69177.39094138956,74897.73372026699
5,31,0,0,80833.33333333333,2166.6666666666715,63253.013892486066,66553.54069364235
5,32,3,1,83000.0,2166.6666666666715,59654.484745313035,61485.18978213104
5,33,4,1,85166.66666666666,2166.666666666657,56951.55542581314,57678.24707861005
5,34,1,1,87333.33333333333,2166.6666666666715,64342.77507940371,68088.41560479396
5,35,0,0,89500.0,2166.6666666666715,68020.85067197663,73268.80376334736
5,36,4,0,91666.66666666666,2166.666666666657,55558.12919115909,55715.674917125485
5,37,1,0,93833.33333333333,2166.6666666666715,62700.33140657046,65775.1146571415
5,38,3,1,96000.0,2166.6666666666715,61177.81238453358,63630.72166835716
5,39,6,1,98166.66666666666,2166.666666666657,63744.14957154663,67245.2810866854
5,40,1,0,100333.33333333333,2166.6666666666715,63507.05553107816,66911.34581841994
6,1,3,0,18000.0,2166.666666666668,13275.264254830672,38753.89331666292
6,2,3,0,20166.666666666664,2166.6666666666642,13046.77478995729,37311.246924328276
6,3,6,0,22333.333333333332,2166.666666666668,18080.96287390282,43280.82243173858
6,4,1,1,24500.0,2166.666666666668,23680.122790463334,50046.132914662994
6,5,0,1,26666.666666666664,2166.6666666666642,29868.57316692383,57641.429960826725
6,6,0,1,28833.333333333332,2166.666666666668,28648.576398580815,54802.294408675705
6,7,0,0,31000.0,2166.666666666668,27301.51206716936,51784.19045783673
6,8,6,0,33166.666666666664,2166.6666666666642,25547.039186581955,48192.27164900355
6,9,3,1,35333.33333333333,2166.6666666666642,27693.089705644597,50094.04776925478
6,10,6,1,37500.0,2166.6666666666715,30860.612507792466,53434.517245964234
6,11,1,0,39666.666666666664,2166.6666666666642,31066.545700336406,52603.73375140047
6,12,1,1,41833.33333333333,2166.6666666666642,32323.69980488572,53253.54309064701
6,13,0,0,44000.0,2166.6666666666715,38587.06270212405,60954.350729455706
6,14,0,1,46166.666666666664,2166.6666666666642,59659.463771183895,61492.202494625206
6,15,2,0,48333.33333333333,2166.6666666666642,46947.00013124291,43587.324128511136
6,16,0,1,50500.0,2166.6666666666715,63847.76401145453,67391.21691754159
6,17,6,1,52666.666666666664,2166.6666666666642,57186.49126469419,58009.14262632985
6,18,0,0,54833.33333333333,2166.6666666666642,61842.29996893501,64566.61967455636
6,19,0,0,57000.0,2166.6666666666715,59176.05802722209,60811.34933411562
6,20,3,1,59166.666666666664,2166.6666666666642,56284.156186885535,56738.24815054301
6,21,0,0,61333.33333333333,2166.6666666666642,63195.622231732894,66472.70736863789
6,22,4,0,63499.99999999999,2166.6666666666642,51991.84647993681,50692.74152103776
6,23,5,1,65666.66666666666,2166.6666666666642,51544.86252273045,50063.18665173303
6,24,6,0,67833.33333333333,2166.6666666666715,57279.22797811867,58139.75771566011
6,25,3,0,70000.0,2166.6666666666715,55585.97892266098,55754.89989107181
6,26,0,1,72166.66666666666,2166.666666666657,68102.36592685117,73383.61398148054
6,27,1,0,74333.33333333333,2166.6666666666715,59989.72674523925,61957.361613013025
6,28,4,1,76500.0,2166.6666666666715,55925.895937510315,56233.65625001453
6,29,0,1,78666.66666666666,2166.666666666657,69177.39094138956,74897.73372026699
6,30,0,1,80833.33333333333,2166.6666666666715,96844.92494359115,85845.33535420545
6,31,6,1,83000.0,2166.6666666666715,41202.17172414603,64637.60287314863
6,32,3,1,85166.66666666666,2166.666666666657,59920.8782292701,61860.39187221141
6,33,1,1,87333.33333333333,2166.6666666666715,64342.77507940371,68088.41560479396
6,34,3,0,89500.0,2166.6666666666715,58167.28201667191,59390.53805165058
6,35,0,0,91666.66666666666,2166.666666666657,68340.54005311838,73719.07049734984
6,36,0,1,93833.33333333333,2166.6666666666715,67688.37903645259,72800.53385415858
6,37,0,0,96000.0,2166.6666666666715,65382.277196953124,69552.50309430018
6,38,3,1,98166.66666666666,2166.666666666657,61415.63992021827,63965.69002847645
6,39,4,1,100333.33333333333,2166.6666666666715,58563.1901024151,59948.15507382409
6,40,8,0,102500.0,2166.6666666666715,44972.17981781416,40805.887067343894
7,1,0,0,9333.333333333332,2166.666666666666,12806.93577950447,39215.10599040658
7,2,0,0,11500.0,2166.666666666668,13492.627670922899,39060.038973130846
7,3,1,0,13666.666666666666,2166.666666666666,14349.18211689383,39145.623441140306
7,4,6,0,15833.333333333332,2166.666666666666,15232.747632242434,39269.25166883663
7,5,0,0,18000.0,2166.666666666668,22092.346246149275,47809.82792267136
7,6,4,0,20166.666666666664,2166.6666666666642,15434.14321100993,37311.246924328276
7,7,6,0,22333.333333333332,2166.666666666668,20468.33129495546,43280.82243173858
7,8,0,0,24500.0,2166.666666666668,35718.22173435749,63638.711115848186
7,9,0,0,26666.666666666664,2166.6666666666642,26630.415980478414,49718.154457308425
7,10,4,1,28833.333333333332,2166.666666666668,23665.848097865422,44421.87649069256
7,11,1,0,31000.0,2166.666666666668,27895.743701242653,49258.645687443364
7,12,1,1,33166.666666666664,2166.6666666666642,29443.70879513336,50318.04796942434
7,13,6,1,35333.33333333333,2166.6666666666642,31904.005619937452,52662.42452029733
7,14,3,1,37500.0,2166.6666666666715,31397.69809694049,50828.48508835209
7,15,1,1,39666.666666666664,2166.6666666666642,56031.02858009885,56381.73039450542
7,16,6,0,41833.33333333333,2166.6666666666642,52391.650265231176,51255.84544398758
7,17,0,1,44000.0,2166.6666666666715,62284.44536459225,65189.359668439785
7,18,6,1,46166.666666666664,2166.6666666666642,55901.74547270435,56199.6415108512
7,19,1,1,48333.33333333333,2166.6666666666642,57991.86049741109,59143.4654893114
7,20,0,0,50500.0,2166.6666666666715,60868.766197440076,63195.44534850715
7,21,0,0,52666.666666666664,2166.6666666666642,58296.523375535406,59572.56813455691
7,22,0,0,54833.33333333333,2166.6666666666642,58743.077181309636,60201.517156774134
7,23,6,1,57000.0,2166.6666666666715,57973.7766611041,59117.99529732972
7,24,4,1,59166.666666666664,2166.6666666666642,53560.69826877803,52902.391927856384
7,25,1,1,61333.33333333333,2166.6666666666642,60457.730750231094,62616.52218342408
7,26,4,0,63499.99999999999,2166.6666666666642,51991.84647993681,50692.74152103776
7,27,3,1,65666.66666666666,2166.6666666666642,57297.2384319774,58165.12455208085
7,28,6,1,67833.33333333333,2166.6666666666715,59750.913147861225,61621.00443360736
7,29,0,0,70000.0,2166.6666666666715,64836.35367879697,68783.59673069997
7,30,1,0,72166.66666666666,2166.666666666657,59655.765983900754,61486.994343522194
